Latitude,Longitude,state,City
24.8352502,81.3650597,Himachal Pradesh,Sirmaur
23.6544338,86.1456444,Jharkhand,Bokaro
30.9077569,77.1023645,Himachal Pradesh,Solan
-15.2724926,-39.24688538,Himachal Pradesh,Una
24.2056663,84.8707742,Jharkhand,Chatra
24.4898318,86.6990182,Jharkhand,Deoghar
23.7952809,86.4309638,Jharkhand,Dhanbad
24.2677937,87.2485495,Jharkhand,Dumka
24.1600361,83.8075433,Jharkhand,Garhwa
24.1862602,86.3087238,Jharkhand,Giridih
23.0426077,84.5422286,Jharkhand,Gumla
24.8269822,87.212476,Jharkhand,Godda
23.9630448,86.8027604,Jharkhand,Jamtara
23.9924352,85.3616252,Jharkhand,Hazaribagh
23.0770961,85.2800459,Jharkhand,Khunti
23.74423,84.499839,Jharkhand,Latehar
23.433053,84.679921,Jharkhand,Lohardaga
35.2648058,74.3167591,Jharkhand,Pakur
23.6303213,85.5215878,Jharkhand,Ramgarh
23.3700501,85.3250387,Jharkhand,Ranchi
16.1853166,75.6967919,Karnataka,Bagalkot
22.611621,84.5006635,Jharkhand,Simdega
26.2979358,84.9280071,Jharkhand,Sahebganj
15.1433952,76.9193876,Karnataka,Ballari
15.8572666,74.5069343,Karnataka,Belagavi
43.4391702,-1.5898909,Karnataka,Bidar
13.318014,75.7738743,Karnataka,Chikkamagaluru
14.2266443,76.4005122,Karnataka,Chitradurga
15.4263647,75.6300786,Karnataka,Gadag
15.4540505,75.0066516,Karnataka,Dharwad
14.4661266,75.9206361,Karnataka,Davanagere
13.0070817,76.0992703,Karnataka,Hassan
12.2335192,76.2818865,Karnataka,Kodagu
13.1367201,78.1337246,Karnataka,Kolar
14.7874825,75.3996731,Karnataka,Haveri
17.3310003,76.8334228,Karnataka,Kalaburagi
15.3484144,76.1547421,Karnataka,Koppal
12.3051828,76.6553609,Karnataka,Mysuru
12.5238888,76.8961961,Karnataka,Mandya
16.1983225,77.3527444,Karnataka,Raichur
12.7252766,77.2804797,Karnataka,Ramanagara
13.9326093,75.574978,Karnataka,Shivamogga
13.3400771,77.1006208,Karnataka,Tumakuru
13.3419169,74.7473232,Karnataka,Udupi
16.8269911,75.7175387,Karnataka,Vijayapura
12.3176836,76.5927692,Karnataka,Vijayanagara
16.7670964,77.1403984,Karnataka,Yadgir
9.98408,76.2741457,Kerala,Ernakulam
9.8497872,76.9797914,Kerala,Idukki
9.4980001,76.333482,Kerala,Alappuzha
12.5035577,74.9907022,Kerala,Kasaragod
11.8763836,75.3737973,Kerala,Kannur
8.8879509,76.5955013,Kerala,Kollam
9.591564,76.5221599,Kerala,Kottayam
11.2450558,75.7754716,Kerala,Kozhikode
11.0428925,76.0807838,Kerala,Malappuram
10.7681928,76.6521319,Kerala,Palakkad
8.4882267,76.947551,Kerala,Thiruvananthapuram
9.2655337,76.7871514,Kerala,Pathanamthitta
10.5256264,76.2132542,Kerala,Thrissur
22.3031314,74.3546218,Madhya Pradesh,Alirajpur
24.576189,77.7302895,Madhya Pradesh,Ashoknagar
23.1184595,81.6992038,Madhya Pradesh,Anuppur
21.8998192,77.8959149,Madhya Pradesh,Betul
22.0333621,74.8978374,Madhya Pradesh,Barwani
21.8133417,80.1916685,Madhya Pradesh,Balaghat
26.5652355,78.7889864,Madhya Pradesh,Bhind
22.0578244,78.9386203,Madhya Pradesh,Chhindwara
24.9157174,79.5853488,Madhya Pradesh,Chhatarpur
23.2584857,77.401989,Madhya Pradesh,Bhopal
21.3118839,76.2291992,Madhya Pradesh,Burhanpur
23.8395678,79.4444361,Madhya Pradesh,Damoh
25.6650399,78.4586499,Madhya Pradesh,Datia
22.5972396,75.306565,Madhya Pradesh,Dhar
22.9446796,81.0774969,Madhya Pradesh,Dindori
24.6476632,77.3161782,Madhya Pradesh,Guna
22.96363,76.054867,Madhya Pradesh,Dewas
22.7545538,77.7198249,Madhya Pradesh,Hoshangabad
26.2037247,78.1573628,Madhya Pradesh,Gwalior
22.7203616,75.8681996,Madhya Pradesh,Indore
22.3388828,77.0929933,Madhya Pradesh,Harda
23.1608938,79.9497702,Madhya Pradesh,Jabalpur
22.7696741,74.591217,Madhya Pradesh,Jhabua
21.825599,75.614182,Madhya Pradesh,Khargone
22.597808,80.3720781,Madhya Pradesh,Mandla
23.8339621,80.392456,Madhya Pradesh,Katni
21.8203752,76.3555424,Madhya Pradesh,Khandwa
24.4650023,74.8689508,Madhya Pradesh,Neemuch
26.4909914,77.9813656,Madhya Pradesh,Morena
22.9467047,79.1980228,Madhya Pradesh,Narsinghpur
25.3512427,78.7993878,Madhya Pradesh,Niwari
24.0682898,75.0742388,Madhya Pradesh,Mandsaur
24.7196026,80.1860748,Madhya Pradesh,Panna
23.330111,77.7842511,Madhya Pradesh,Raisen
24.0051159,76.733677,Madhya Pradesh,Rajgarh
23.3311044,75.0360846,Madhya Pradesh,Ratlam
24.5359,81.2934,Madhya Pradesh,Rewa
24.5751308,80.8325721,Madhya Pradesh,Satna
22.0910049,79.5507791,Madhya Pradesh,Seoni
23.8417793,78.7466817,Madhya Pradesh,Sagar
23.3002343,81.364771,Madhya Pradesh,Shahdol
23.2049201,77.0845745,Madhya Pradesh,Sehore
23.4240705,76.2838697,Madhya Pradesh,Shajapur
25.6656611,76.6954843,Madhya Pradesh,Sheopur
24.4108921,81.8794694,Madhya Pradesh,Sidhi
24.1974432,82.6661453,Madhya Pradesh,Singrauli
25.4235256,77.6551422,Madhya Pradesh,Shivpuri
24.7428616,78.8322022,Madhya Pradesh,Tikamgarh
23.1885131,75.7716562,Madhya Pradesh,Ujjain
23.5208128,77.8063184,Madhya Pradesh,Vidisha
19.092952,74.7493451,Maharashtra,Ahmednagar
23.5246558,80.8361408,Madhya Pradesh,Umaria
20.7116604,77.002632,Maharashtra,Akola
20.9316219,77.7588455,Maharashtra,Amravati
18.9904059,75.7542291,Maharashtra,Beed
21.1706698,79.65658,Maharashtra,Bhandara
20.53208,76.179911,Maharashtra,Buldhana
19.9508161,79.2986673,Maharashtra,Chandrapur
20.898,74.7732,Maharashtra,Dhule
21.455228,80.1962729,Maharashtra,Gondia
19.7158472,77.1388362,Maharashtra,Hingoli
20.9968453,75.5683795,Maharashtra,Jalgaon
20.1853965,80.003509,Maharashtra,Gadchiroli
47.1095476,24.5559788,Maharashtra,Jalna
16.7028412,74.2405329,Maharashtra,Kolhapur
19.054999,72.8692035,Maharashtra,Mumbai Suburban
18.3983393,76.562087,Maharashtra,Latur
18.9733536,72.82810492,Maharashtra,Mumbai City
20.739199,79.78100431,Maharashtra,Nanded
18.1853567,76.0420253,Maharashtra,Osmanabad
21.1498134,79.0820556,Maharashtra,Nagpur
20.0112475,73.7902364,Maharashtra,Nashik
21.363778,74.2411418,Maharashtra,Nandurbar
19.6978751,72.7686942,Maharashtra,Palghar
19.262469,76.7718,Maharashtra,Parbhani
18.521428,73.8544541,Maharashtra,Pune
16.9933521,73.2954371,Maharashtra,Ratnagiri
16.8502534,74.5948885,Maharashtra,Sangli
17.688321,74.0041726,Maharashtra,Satara
20.7464941,78.5997922,Maharashtra,Wardha
17.6699734,75.9008118,Maharashtra,Solapur
19.1943294,72.9701779,Maharashtra,Thane
20.390344,78.1328518,Maharashtra,Yavatmal
20.1029211,77.1353872,Maharashtra,Washim
24.3468839,93.6994143,Manipur,Churachandpur
23.0758821,87.3146517,Manipur,Bishnupur
20.2450556,82.8438771,Manipur,Chandel
24.8087217,93.1143992,Manipur,Jiribam
27.0529479,90.8278454,Manipur,Kamjong
25.2726634,94.0267486,Manipur,Senapati
24.4974827,93.9835543,Manipur,Kakching
25.1524326,93.9714932,Manipur,Kangpokpi
24.2595653,93.1906004,Manipur,Pherzawl
24.8625867,93.6237454,Manipur,Noney
24.9858596,93.5039967,Manipur,Tamenglong
24.6386954,93.996871,Manipur,Thoubal
24.3847802,94.1472634,Manipur,Tengnoupal
25.0982654,94.363167,Manipur,Ukhrul
23.7435236,92.7382905,Mizoram,Aizawl
22.9652689,92.9284572,Mizoram,Hnahthial
23.4787183,93.3198879,Mizoram,Champhai
24.2264657,92.6773489,Mizoram,Kolasib
23.5216539,93.1861639,Mizoram,Khawzawl
22.5280366,92.898086,Mizoram,Lawngtlai
22.8931695,92.7470391,Mizoram,Lunglei
24.151651,47.3101974,Mizoram,Saiha
23.6929995,92.965428,Mizoram,Saitual
23.9160087,92.4935815,Mizoram,Mamit
23.3095426,92.857116,Mizoram,Serchhip
25.911744,93.721703,Nagaland,Dimapur
25.88673,94.7863485,Nagaland,Kiphire
25.6618755,94.1019156,Nagaland,Kohima
26.870439,95.5152609,Nagaland,Longleng
50.4549568,3.951958,Nagaland,Mon
26.3238761,94.5214104,Nagaland,Mokokchung
26.2002677,95.0208592,Nagaland,Noklak
44.3865268,23.5602562,Nagaland,Peren
25.7098345,94.4633429,Nagaland,Phek
26.0714153,94.8745224,Nagaland,Shamator
25.9230149,94.2223513,Nagaland,Tseminyu
26.2393314,94.8146931,Nagaland,Tuensang
26.0150293,94.5288731,Nagaland,Zunheboto
26.0962958,94.2544489,Nagaland,Wokha
20.8382426,85.0973949,Odisha,Angul
20.7041466,83.4902894,Odisha,Balangir
21.3335004,83.6190492,Odisha,Bargarh
21.5017098,86.9216712,Odisha,Balasore
21.0633288,86.5053731,Odisha,Bhadrak
20.8415619,84.3213321,Odisha,Boudh
20.4686,85.8792,Odisha,Cuttack
21.5370786,84.7301184,Odisha,Deogarh
16.0276627,74.5954298,Odisha,Gajapati
20.6613774,85.6009626,Odisha,Dhenkanal
19.3886023,85.049464,Odisha,Ganjam
20.2593872,86.1660878,Odisha,Jagatsinghpur
21.8653634,84.0239656,Odisha,Jharsuguda
20.8522696,86.3385714,Odisha,Jajpur
19.2509887,83.4206064,Odisha,Kalahandi
20.1727724,85.6138614,Odisha,Khordha
21.6376203,85.6088638,Odisha,Kendujhar
20.5042089,86.4159937,Odisha,Kendrapara
18.8109464,82.7141333,Odisha,Koraput
20.8085208,82.5340241,Odisha,Nuapada
20.1272799,85.1044062,Odisha,Nayagarh
19.8076083,85.8252538,Odisha,Puri
19.1696,83.418,Odisha,Rayagada
21.4705391,83.9761511,Odisha,Sambalpur
27.2274941,84.71486465,Odisha,Subarnapur
22.1200669,84.0372094,Odisha,Sundargarh
30.206791,74.9463699,Punjab,Bathinda
30.3762012,75.5435927,Punjab,Barnala
31.6343083,74.8736788,Punjab,Amritsar
30.6729772,74.7517033,Punjab,Faridkot
30.6466737,76.3887563,Punjab,Fatehgarh Sahib
30.6839733,76.3594033,Punjab,Ferozepur
30.4032097,74.0310609,Punjab,Fazilka
32.0419134,75.4001677,Punjab,Gurdaspur
31.5328523,75.9025485,Punjab,Hoshiarpur
31.3323762,75.576889,Punjab,Jalandhar
31.3815015,75.3843769,Punjab,Kapurthala
30.9090157,75.851601,Punjab,Ludhiana
-11.2006743,28.8893922,Punjab,Mansa
30.533129,75.8807604,Punjab,Malerkotla
30.8223408,75.1730967,Punjab,Moga
31.1256744,76.1159294,Punjab,Nawanshahr
30.7041168,76.7176885,Punjab,Mohali
32.2692452,75.6528858,Punjab,Pathankot
30.4692,74.5182,Punjab,Muktsar
30.3295605,76.4127819,Punjab,Patiala
26.6500587,86.8942184,Punjab,Rupnagar
30.2432006,75.8358123,Punjab,Sangrur
27.5645949,76.6132248,Rajasthan,Alwar
31.4555254,74.9269621,Punjab,Tarn Taran
26.4691,74.639,Rajasthan,Ajmer
25.834763,72.2410908,Rajasthan,Balotra
29.1906459,73.2113999,Rajasthan,Anupgarh
31.9842238,49.8618436,Rajasthan,Baran
23.550075,74.446294,Rajasthan,Banswara
25.745304,71.3998217,Rajasthan,Barmer
26.0992137,74.3127044,Rajasthan,Beawar
27.6879749,84.43608262,Rajasthan,Bharatpur
28.0159286,73.3171367,Rajasthan,Bikaner
25.4416137,75.6375815,Rajasthan,Bundi
25.348,74.636,Rajasthan,Bhilwara
45.2678347,1.7706797,Rajasthan,Churu
24.8837157,74.6244155,Rajasthan,Chittorgarh
26.893342,76.3376514,Rajasthan,Dausa
23.3812393,76.816535,Rajasthan,Dholpur
23.8538893,73.7087177,Rajasthan,Dungarpur
26.9154576,75.8189817,Rajasthan,Jaipur
29.5760254,74.3342203,Rajasthan,Hanumangarh
29.9049489,73.87929341,Rajasthan,Ganganagar
26.9116615,70.9124888,Rajasthan,Jaisalmer
25.3476006,72.6260916,Rajasthan,Jalore
28.1287995,75.3992581,Rajasthan,Jhunjhunu
24.5931704,76.1664528,Rajasthan,Jhalawar
26.2967719,73.0351433,Rajasthan,Jodhpur
26.4956,77.0275,Rajasthan,Karauli
25.974212,75.1545672,Rajasthan,Kekri
27.1294121,72.3649644,Rajasthan,Phalodi
25.1737019,75.8574194,Rajasthan,Kota
48.8588897,2.320041022,Rajasthan,Pali
27.2000843,73.7377453,Rajasthan,Nagaur
25.8990129,81.9375402,Rajasthan,Pratapgarh
25.8990129,81.9375402,Uttar Pradesh,Pratapgarh
25.8990129,81.9375402,Rajasthan,Pratapgarh
25.8990129,81.9375402,Uttar Pradesh,Pratapgarh
25.0585825,73.8880816,Rajasthan,Rajsamand
24.7533864,71.7720096,Rajasthan,Sanchore
24.1390484,74.0461856,Rajasthan,Salumbar
26.0188919,76.3522441,Rajasthan,Sawai Madhopur
25.625258,74.9274576,Rajasthan,Shahpura
27.6091864,75.1395503,Rajasthan,Sikar
24.8858,72.8589,Rajasthan,Sirohi
26.1612436,75.7858103,Rajasthan,Tonk
27.329046,88.6122673,Sikkim,Gangtok
24.578721,73.6862571,Rajasthan,Udaipur
27.29004,88.2573,Sikkim,Gyalshing
-5.792151,134.7735174,Sikkim,Mangan
27.1661262,88.3651981,Sikkim,Namchi
27.2436107,88.5984989,Sikkim,Pakyong
27.1706135,88.1993929,Sikkim,Soreng
13.0836939,80.270186,Tamil Nadu,Chennai
12.6840886,79.9836371,Tamil Nadu,Chengalpattu
11.7564329,79.7634644,Tamil Nadu,Cuddalore
13.1918717,80.2507423,Tamil Nadu,Ariyalur
11.0018115,76.9628425,Tamil Nadu,Coimbatore
12.1347988,78.1589864,Tamil Nadu,Dharmapuri
10.365646,77.9693256,Tamil Nadu,Dindigul
11.3306483,77.7276519,Tamil Nadu,Erode
11.7406259,78.9637131,Tamil Nadu,Kallakurichi
12.87960515,79.70427615,Tamil Nadu,Kancheepuram
12.5188835,78.2206536,Tamil Nadu,Krishnagiri
10.9596041,78.0807797,Tamil Nadu,Karur
9.9261153,78.1140983,Tamil Nadu,Madurai
11.1018614,79.6503162,Tamil Nadu,Mayiladuthurai
10.7647952,79.8430779,Tamil Nadu,Nagapattinam
11.2191692,78.16787,Tamil Nadu,Namakkal
11.2356695,78.8688353,Tamil Nadu,Perambalur
10.3826515,78.8191259,Tamil Nadu,Pudukkottai
9.3652354,78.8343193,Tamil Nadu,Ramanathapuram
12.9245871,79.3341878,Tamil Nadu,Ranipet
44.9391565,-123.033121,Tamil Nadu,Salem
9.8486881,78.4870461,Tamil Nadu,Sivaganga
8.9560546,77.3058504,Tamil Nadu,Tenkasi
10.7860267,79.1381497,Tamil Nadu,Thanjavur
10.0108143,77.4810104,Tamil Nadu,Theni
8.8052602,78.1452745,Tamil Nadu,Thoothukudi
12.490898,78.564709,Tamil Nadu,Tirupattur
8.722388,77.710247,Tamil Nadu,Tirunelveli
10.804973,78.6870296,Tamil Nadu,Tiruchirappalli
11.1017815,77.345192,Tamil Nadu,Tiruppur
13.1394221,79.9070839,Tamil Nadu,Tiruvallur
12.2343228,79.0761989,Tamil Nadu,Tiruvannamalai
12.9071753,79.1309695,Tamil Nadu,Vellore
11.9425887,79.4950625,Tamil Nadu,Viluppuram
19.6759452,78.5339895,Telangana,Adilabad
9.58224,77.9537,Tamil Nadu,Virudhunagar
18.0068629,79.5578719,Telangana,Hanamkonda
17.360589,78.4740613,Telangana,Hyderabad
17.7243771,79.1570824,Telangana,Jangaon
17.2465351,80.1500326,Telangana,Khammam
18.4348122,79.1328042,Telangana,Karimnagar
18.3222091,78.3387118,Telangana,Kamareddy
17.595749,79.9999224,Telangana,Mahabubabad
18.8761795,79.4449696,Telangana,Mancherial
14.2175497,78.5641223,Telangana,Mahabubnagar
18.0458792,78.2651993,Telangana,Medak
16.4870296,78.3169003,Telangana,Nagarkurnool
16.7477612,77.4949954,Telangana,Narayanpet
17.0504406,79.2669235,Telangana,Nalgonda
18.6732693,78.0978477,Telangana,Nizamabad
19.0921749,78.3488725,Telangana,Nirmal
12.9777737,78.2709092,Telangana,Peddapalli
18.1932372,79.9413676,Telangana,Mulugu
16.9344152,77.7788338,Telangana,Rangareddy
17.6155151,78.0817225,Telangana,Sangareddy
18.1017739,78.8520128,Telangana,Siddipet
17.1405328,79.6225105,Telangana,Suryapet
17.3379216,77.9039857,Telangana,Vikarabad
17.9820644,79.5970954,Telangana,Warangal
16.3617799,78.0610836,Telangana,Wanaparthy
40.395403,23.7949735,Tripura,Gomati
24.081208,91.5989065,Tripura,Khowai
27.1752554,78.0098161,Uttar Pradesh,Agra
27.8815412,78.0690216,Uttar Pradesh,Aligarh
28.5192116,77.2362095,Uttar Pradesh,Ambedkar Nagar
26.1573163,81.8055055,Uttar Pradesh,Amethi
28.90662,78.4707309,Uttar Pradesh,Amroha
26.4645159,79.5101594,Uttar Pradesh,Auraiya
26.7990707,82.2052321,Uttar Pradesh,Ayodhya
28.943402,77.2193369,Uttar Pradesh,Baghpat
27.5752,81.5954,Uttar Pradesh,Bahraich
26.0654351,83.184439,Uttar Pradesh,Azamgarh
25.7557446,84.1503303,Uttar Pradesh,Ballia
26.9274097,81.1948375,Uttar Pradesh,Barabanki
47.1220366,17.7795783,Uttar Pradesh,Banda
26.7895579,82.7231355,Uttar Pradesh,Basti
28.355099,79.417851,Uttar Pradesh,Bareilly
25.3941093,82.5701465,Uttar Pradesh,Bhadohi
28.0367001,79.1234,Uttar Pradesh,Budaun
29.3695221,78.1371435,Uttar Pradesh,Bijnor
25.2592694,83.2667942,Uttar Pradesh,Chandauli
28.4056515,77.8542516,Uttar Pradesh,Bulandshahr
25.1743883,80.8691307,Uttar Pradesh,Chitrakoot
26.7780674,79.0220015,Uttar Pradesh,Etawah
78.3131833,-72.6012716,Uttar Pradesh,Etah
26.4998975,83.7829787,Uttar Pradesh,Deoria
27.3895336,79.5790994,Uttar Pradesh,Farrukhabad
25.9250809,80.8009461,Uttar Pradesh,Fatehpur
27.1527986,78.3991439,Uttar Pradesh,Firozabad
25.5874162,83.5903956,Uttar Pradesh,Ghazipur
28.6711527,77.4120356,Uttar Pradesh,Ghaziabad
27.1334827,81.9619743,Uttar Pradesh,Gonda
26.7600217,83.3668129,Uttar Pradesh,Gorakhpur
28.7299677,77.775499,Uttar Pradesh,Hapur
27.5975888,78.0545477,Uttar Pradesh,Hathras
27.4010619,80.1329669,Uttar Pradesh,Hardoi
26.1431896,79.3335685,Uttar Pradesh,Jalaun
25.7472,82.689,Uttar Pradesh,Jaunpur
25.4502464,78.5800085,Uttar Pradesh,Jhansi
27.0536345,79.9201719,Uttar Pradesh,Kannauj
27.8077034,78.6456226,Uttar Pradesh,Kasganj
28.6386388,77.32621803,Uttar Pradesh,Kaushambi
27.64987875,85.31156463,Uttar Pradesh,Lalitpur
26.8381,80.9346001,Uttar Pradesh,Lucknow
26.7438272,83.9162322,Uttar Pradesh,Kushinagar
27.55417975,82.96444241,Uttar Pradesh,Maharajganj
25.2886851,79.8792071,Uttar Pradesh,Mahoba
27.2270677,79.0271702,Uttar Pradesh,Mainpuri
31.6835463,103.8502229,Uttar Pradesh,Mau
27.4955539,77.6855554,Uttar Pradesh,Mathura
28.9963296,77.7061915,Uttar Pradesh,Meerut
25.1461346,82.5689952,Uttar Pradesh,Mirzapur
34.32661,47.127728,Uttar Pradesh,Moradabad
28.6294996,79.8054072,Uttar Pradesh,Pilibhit
